epoch,loss,lr,val_loss
0,31.631636002604168,0.001,12.494006036376954
1,9.498557380930583,0.001,7.331333776855469
2,6.479946802775065,0.001,5.706898745727539
3,5.280732301839192,0.001,4.8808535438537595
4,4.623149759419759,0.001,4.476785743331909
5,4.206749198150635,0.001,4.185046338653565
6,3.9234019746144613,0.001,3.9999330673217774
7,3.6980150787353514,0.001,3.82025613861084
8,3.5197910666147867,0.001,3.705959831619263
9,3.373199847793579,0.001,3.6441332893371583
10,3.2478069878896076,0.001,3.523983487701416
11,3.146875341796875,0.001,3.4733381786346436
12,3.050802365620931,0.001,3.398977021789551
13,2.965494854100545,0.001,3.345554745864868
14,2.888331495030721,0.001,3.3223876976013185
15,2.82470648244222,0.001,3.27504976272583
16,2.762206074651082,0.001,3.2348065029144286
17,2.701893976974487,0.001,3.187497511672974
18,2.649436188252767,0.001,3.1717599002838135
19,2.596456464131673,0.001,3.1628410717010498
20,2.5518021755218507,0.001,3.1596482177734373
21,2.5152674368540446,0.001,3.111878963851929
22,2.466234633000692,0.001,3.089179305267334
23,2.4319433902740477,0.001,3.073736279296875
24,2.4011883421579996,0.001,3.0667345417022704
25,2.360829360071818,0.001,3.0608709518432615
26,2.332690075937907,0.001,3.057244584274292
27,2.3005163644154867,0.001,3.0421954711914063
28,2.2730120966593423,0.001,2.9882976928710936
29,2.2393356647491456,0.001,3.005445397567749
30,2.2163675351460776,0.001,3.007769576263428
31,2.1834473425547283,0.001,2.9786376930236815
32,2.1600517253875733,0.001,2.986457564163208
33,2.141657425689697,0.001,3.011776094055176
34,2.1188743068695066,0.001,3.000873254394531
35,2.0984144167582195,0.001,2.985762166595459
36,2.0770131713231406,0.001,2.962618286895752
37,2.0544449827829996,0.001,2.9828996368408203
38,2.0393964405059815,0.001,2.982578862762451
39,2.0223172284444173,0.001,2.938877893447876
40,2.0027395352045696,0.001,2.9909864448547365
41,1.9867851903915406,0.001,2.968267702484131
42,1.9692760617574057,0.001,2.9670357231140136
43,1.954510882695516,0.001,2.9559856449127198
44,1.93662124265035,0.001,2.9550051853179933
45,1.9216836753209432,0.001,2.9602813888549804
46,1.9065137906392415,0.001,2.957471636962891
47,1.8948101600646972,0.001,2.967458783340454
48,1.8838292421976726,0.001,2.9550976112365723
49,1.8662599442799885,0.001,2.953589682388306
50,1.8503342577616373,0.001,2.958244079208374
51,1.8395961188634236,0.001,2.9418576999664308
52,1.831271505610148,0.001,2.958825958251953
53,1.8186228375116984,0.001,2.963561312484741
54,1.8064459433873494,0.001,2.9793785915374755
55,1.7944065650939942,0.001,2.953846385574341
56,1.783842899831136,0.001,2.9482719146728518
57,1.7752299893697103,0.001,2.9933523246765135
58,1.7628002868652344,0.001,2.9719714588165282
59,1.7512940638224284,0.001,2.980524964141846
60,1.57011034450531,0.0005,2.859389143371582
61,1.5410804611206055,0.0005,2.8744297748565675
62,1.5358699785232544,0.0005,2.886037948989868
63,1.5318828946431478,0.0005,2.907046959686279
64,1.5272015723546346,0.0005,2.893755369567871
65,1.5220211267471313,0.0005,2.8939307182312013
66,1.5175875789006552,0.0005,2.910142481613159
67,1.512177325439453,0.0005,2.9202031967163085
68,1.5070232606887817,0.0005,2.917339264678955
69,1.5011440975824992,0.0005,2.9253319751739504
70,1.4967191555658976,0.0005,2.9363657623291015
71,1.4917103855768838,0.0005,2.954083849334717
72,1.488157067044576,0.0005,2.9349724334716796
73,1.481816822052002,0.0005,2.9576976539611817
74,1.4791599323908489,0.0005,2.9565138763427736
75,1.4736791372299194,0.0005,2.9635105422973633
76,1.4696145863215129,0.0005,2.960065763092041
77,1.4650664686203003,0.0005,2.9796802219390868
78,1.4607391625086465,0.0005,2.9672234409332274
79,1.4562366343816122,0.0005,2.973176264190674
80,1.4516904829025268,0.0005,2.9736260375976564
81,1.3756859107335409,0.00025,2.9658841079711915
82,1.365305687904358,0.00025,2.9672945266723634
83,1.3627497327168783,0.00025,2.9839354766845703
84,1.3598485230763753,0.00025,2.9858756042480468
85,1.3580162738164265,0.00025,2.9897020511627197
86,1.3558153518040974,0.00025,2.9882128730773925
87,1.353403778330485,0.00025,2.990224244689941
88,1.3508780828475953,0.00025,2.997260823059082
89,1.3483799885431926,0.00025,2.998404454421997
90,1.3460869994481404,0.00025,3.002590809631348
91,1.3440949980417887,0.00025,3.0015705326080324
92,1.3415324111302693,0.00025,3.0033460483551027
93,1.3392447170893351,0.00025,3.0220049808502196
94,1.3368907792409261,0.00025,3.017482400894165
95,1.3344232470830282,0.00025,3.0241828384399416
96,1.3321888712565104,0.00025,3.0339004123687743
97,1.3306262779871623,0.00025,3.025102505111694
98,1.328112280845642,0.00025,3.0310290550231933
99,1.325557470703125,0.00025,3.03334900970459
100,1.3240035364786784,0.00025,3.0440630741119383
