epoch,loss,lr,val_loss
0,19.967276442464193,0.001,8.730762550354005
1,7.5086941851298015,0.001,6.2666180702209475
2,5.831804689788818,0.001,5.387067771911621
3,5.110358703358968,0.001,4.866099432373047
4,4.681853479766846,0.001,4.647686611938477
5,4.4106787467956545,0.001,4.459431314849853
6,4.165190878295898,0.001,4.278153554916382
7,3.9994701780954998,0.001,4.14683966293335
8,3.8666263516743977,0.001,3.9868529655456544
9,3.748251219558716,0.001,3.976144462585449
10,3.6390882858276368,0.001,3.969909345626831
11,3.5435945087432863,0.001,3.8036701866149905
12,3.452565123494466,0.001,3.7526152381896973
13,3.36824540087382,0.001,3.6975589153289796
14,3.3112439744313558,0.001,3.677670299530029
15,3.253687567138672,0.001,3.6769946975708008
16,3.1867112840016683,0.001,3.6773906715393068
17,3.13465726369222,0.001,3.5285928173065186
18,3.076571517944336,0.001,3.6173534202575683
19,3.035404577509562,0.001,3.5180071598052978
20,2.991925027592977,0.001,3.6119947570800783
21,2.9616467086791993,0.001,3.443747296142578
22,2.921522777811686,0.001,3.4071516788482668
23,2.8689141240437825,0.001,3.448646537780762
24,2.842529806391398,0.001,3.4404341800689697
25,2.8043277395884196,0.001,3.5274825286865235
26,2.7909661478678385,0.001,3.395821694564819
27,2.7552457410176596,0.001,3.361639443206787
28,2.717389756266276,0.001,3.416290256500244
29,2.698905587387085,0.001,3.392912558746338
30,2.6791537310282387,0.001,3.3744371601104737
31,2.6427799907684326,0.001,3.3746296756744383
32,2.6247419962565104,0.001,3.3757075759887694
33,2.6007181941986084,0.001,3.360989380645752
34,2.5769874501546224,0.001,3.3684995780944824
35,2.5612710651397705,0.001,3.319990985107422
36,2.5284154738108318,0.001,3.3601232711791993
37,2.513039119466146,0.001,3.3206752548217775
38,2.498575461959839,0.001,3.3180488662719725
39,2.4714163351694745,0.001,3.297882814788818
40,2.4685301939646402,0.001,3.3593430465698244
41,2.4529600536346434,0.001,3.3504588401794435
42,2.435407030105591,0.001,3.305189350128174
43,2.4112875858306886,0.001,3.300072414398193
44,2.407727842203776,0.001,3.275894105529785
45,2.384969964981079,0.001,3.271590798187256
46,2.3613385407765706,0.001,3.335964588928223
47,2.367477355448405,0.001,3.3126630859375
48,2.3398943970998127,0.001,3.2966820644378663
49,2.330071955490112,0.001,3.262931000518799
50,2.318907786687215,0.001,3.265933517074585
51,2.310240938568115,0.001,3.293807710266113
52,2.305514736557007,0.001,3.3631077045440674
53,2.278990238189697,0.001,3.301226974487305
54,2.267217458089193,0.001,3.2821528255462646
55,2.2568243755340576,0.001,3.2958916843414308
56,2.264732367070516,0.001,3.311107698059082
57,2.242392602411906,0.001,3.2465079673767088
58,2.2213175902048747,0.001,3.3068774143218995
59,2.218604140599569,0.001,3.3415983280181885
60,2.2098073935190836,0.001,3.3152788482666016
61,2.2002848189036053,0.001,3.328938541793823
62,2.187694282658895,0.001,3.3261465789794924
63,2.1884663995107014,0.001,3.2959211254119873
64,2.1640413665771483,0.001,3.318090423965454
65,2.171591828028361,0.001,3.3432470039367677
66,2.165032445526123,0.001,3.2977133491516115
67,2.1452234850565595,0.001,3.3281537101745604
68,2.1395067333221434,0.001,3.331396799468994
69,2.124865481821696,0.001,3.356254624557495
70,2.135721894709269,0.001,3.333671961593628
71,2.1144994794209797,0.001,3.323412816619873
72,2.109481436665853,0.001,3.3723686576843264
73,2.0999058081309,0.001,3.300257717132568
74,2.103248550160726,0.001,3.336938483428955
75,2.0767758525848388,0.001,3.382825256729126
76,2.0819482231140136,0.001,3.317968432235718
77,2.0692328291575115,0.001,3.2891019733428957
78,1.7033624265670777,0.0005,3.005985066604614
79,1.6697456906636556,0.0005,3.0273226039886474
80,1.6725157732009888,0.0005,3.048064190673828
81,1.6751218899408977,0.0005,3.0589982570648195
82,1.6720686671574911,0.0005,3.091738613128662
83,1.673290198834737,0.0005,3.076803829574585
84,1.6657059185663858,0.0005,3.091599175262451
85,1.661393534342448,0.0005,3.116608869934082
86,1.6555613522847494,0.0005,3.119442615890503
87,1.6539037510553996,0.0005,3.105617609786987
88,1.6475312925338745,0.0005,3.096857004547119
89,1.6444456250508626,0.0005,3.1200295944213865
90,1.636789820543925,0.0005,3.1201297065734863
91,1.6331994024276733,0.0005,3.1377759307861326
92,1.6303438130060832,0.0005,3.1270779537200926
93,1.6271008653640746,0.0005,3.127539129638672
94,1.6190843081156412,0.0005,3.1352783222198486
95,1.6167039946873982,0.0005,3.1320024394989012
96,1.6141103498458862,0.0005,3.1151639694213866
97,1.6091466515223185,0.0005,3.136390832901001
98,1.6062420677185059,0.0005,3.105558327102661
99,1.4651389345169068,0.00025,3.0331477043151858
100,1.4529500927607217,0.00025,3.047473945236206
101,1.4532942293167115,0.00025,3.0560936656951903
102,1.4519112246195476,0.00025,3.06406117477417
103,1.4507875947952271,0.00025,3.063476620864868
104,1.4491895037333171,0.00025,3.071344928359985
105,1.446747189648946,0.00025,3.0730963035583496
106,1.4445965046564737,0.00025,3.0767790130615236
107,1.4417660504659018,0.00025,3.0828203327178954
108,1.439719082069397,0.00025,3.0772533428192137
109,1.4374189929326375,0.00025,3.0805838294982912
