,h3,h5,h8,relu
0,1.6072955785751344,1.5922347169876099,1.6814589127731323,1.6190458892440796
1,1.3569988064193725,1.349766855545044,1.473356254310608,1.3892870751190185
2,1.2369836557769776,1.227113399887085,1.3707452564239502,1.2839615991210938
3,1.1459094717788696,1.1324905478286744,1.4014642715454102,1.2060923561859132
4,1.0635056140518189,1.0640717657089234,1.3151858757019044,1.1334089629364015
5,0.9923454441070557,0.9723219752120972,1.2046554278564454,1.0744057892227172
6,0.9220543171310425,0.8966917331695556,1.1309060312652588,1.0198684977912902
7,0.8644019596862793,0.8295649159240722,1.0775125728607178,0.9672922939872741
8,0.8071859405517579,0.7613941493034363,1.0473733697891234,0.9175155330276489
9,0.7529795110893249,0.7035686840057374,1.045556395072937,0.8740523647308349
10,0.7082342984962463,0.6473761293792725,0.9596202042961121,0.8307729372787476
11,0.6692027169418335,0.5967000294494629,0.9002331753349304,0.7832156694221497
12,0.6268231898880005,0.5599051072883606,0.9011483727264404,0.7456326632881165
13,0.5921771154403687,0.5184544542312622,0.8464953849601745,0.7048219987106323
14,0.5524699113559723,0.4805426119232178,0.7791082134628295,0.6653335931205749
15,0.5351481200790406,0.4490936648750305,0.7293372964668274,0.6323601558685302
16,0.5072205284690857,0.4326645614051819,0.6938628487968445,0.5984431345367431
17,0.4760951333808899,0.40503922264099124,0.6694653317260743,0.5658216981124878
18,0.4580058479309082,0.3847990043449402,0.6140018251419067,0.5324643872070313
19,0.4373075526428223,0.34807435903549194,0.5713251977920533,0.5034435831642151
20,0.41970052417755127,0.3509050698375702,0.5412025691032409,0.47473657749176024
21,0.4023861324882507,0.3207176815986633,0.5008041854000091,0.4576729888343811
22,0.3788004027843475,0.3048296732902527,0.469424128036499,0.4259849725151062
23,0.3738523935127258,0.29741301164627076,0.4454772054481506,0.4024783430290222
24,0.35294867267608643,0.2748106984806061,0.4433531846523285,0.38375598398208616
25,0.34979618052482603,0.26035912400245664,0.4084136809158325,0.36010431156158446
26,0.33472106057167056,0.2484318015241623,0.4054534866142273,0.3348063500928879
27,0.320667851266861,0.24104983755111695,0.37666930891036987,0.3197393203544617
28,0.30331400375366213,0.23540502750396727,0.3473848428630829,0.3043995431613922
29,0.29787781432151794,0.2164507686471939,0.3254490592384338,0.2860942924594879
30,0.2870701780128479,0.21826212341547013,0.3056914273452759,0.275462096118927
31,0.2706136237621307,0.21723699452400208,0.2886981837654114,0.25806663243293765
32,0.2655289930534363,0.205089230966568,0.2930664009952545,0.23870635124206543
33,0.2632367557477951,0.19119170114517212,0.26930747928619386,0.22113963118553162
34,0.24635479460716248,0.19056106504440307,0.25284089632511136,0.21194059957027436
35,0.2491728629207611,0.17334345255374908,0.23976389995098113,0.20781341933250427
36,0.24444904135227202,0.17644513464450837,0.2465045531272888,0.19086934430122376
37,0.22878155223846436,0.1839884108686447,0.23373522478103637,0.18392281936645508
38,0.22392860357284547,0.16766958048343658,0.21578271771907806,0.173634850525856
39,0.21593908524513244,0.15997997220993043,0.20687332981109618,0.17074619777679442
40,0.2111852205657959,0.14807400792598724,0.19821550387859344,0.16050487200737
41,0.20202908902645111,0.14494160409927367,0.1872106085729599,0.14697365676879884
42,0.19589945826530455,0.14925025017738341,0.19037442952156067,0.14476572355270387
43,0.18048184642791748,0.13141113887906075,0.1726506617641449,0.13443831540107726
