epoch,loss,lr,val_loss
0,19.699261947631836,0.001,8.499107183074951
1,7.323815958913167,0.001,6.123311324310302
2,5.773944827779134,0.001,5.322532767486572
3,5.090319865926107,0.001,4.918898500061035
4,4.696755653889974,0.001,4.59820060005188
5,4.409323360443115,0.001,4.4558828254699705
6,4.182144324239095,0.001,4.294518364715576
7,4.006475268427531,0.001,4.258863773345947
8,3.871665433247884,0.001,4.129895349884033
9,3.7464826085408527,0.001,3.957121696853638
10,3.6595986626942953,0.001,3.8752544384002685
11,3.5345331080118814,0.001,3.8222573944091796
12,3.4630387888590497,0.001,3.7494597049713136
13,3.3841318230946857,0.001,3.754524764251709
14,3.311966828409831,0.001,3.7072058979034423
15,3.265905432128906,0.001,3.7708247814178466
16,3.1894268498738607,0.001,3.6245899173736573
17,3.131724219894409,0.001,3.576623570251465
18,3.08574354095459,0.001,3.5761087844848634
19,3.045897732543945,0.001,3.546150592803955
20,3.0081172514597574,0.001,3.6015465560913085
21,2.9695374725341797,0.001,3.5184507209777833
22,2.9143862939198812,0.001,3.4368932975769044
23,2.8757525513966877,0.001,3.510996482849121
24,2.8487306781768797,0.001,3.5613807888031004
25,2.8131416783650716,0.001,3.4006211151123047
26,2.7901793239593506,0.001,3.490915340423584
27,2.75722606493632,0.001,3.4203635398864747
28,2.716289832941691,0.001,3.4120341857910157
29,2.697473229980469,0.001,3.421585498046875
30,2.661425002670288,0.001,3.3531602626800536
31,2.646320722325643,0.001,3.36085724067688
32,2.623804541905721,0.001,3.3491748931884766
33,2.598230671183268,0.001,3.3354024726867677
34,2.5706500951131184,0.001,3.3764851264953615
35,2.555664317067464,0.001,3.3234248229980468
36,2.540237593968709,0.001,3.321446775817871
37,2.523273522822062,0.001,3.3050345249176027
38,2.4991994140625,0.001,3.306663229370117
39,2.4769244707743328,0.001,3.289808092498779
40,2.464500514348348,0.001,3.303847314453125
41,2.4399958482106525,0.001,3.314182317352295
42,2.430562161763509,0.001,3.3440508590698244
43,2.413385133488973,0.001,3.2709979217529295
44,2.3998915136973062,0.001,3.2818069446563722
45,2.3900821784973143,0.001,3.2947203407287597
46,2.375473763402303,0.001,3.3142361724853515
47,2.349936908086141,0.001,3.3417125183105467
48,2.3338403644561767,0.001,3.282255816268921
49,2.332471295038859,0.001,3.3294845817565917
50,2.323383717473348,0.001,3.2747321418762207
51,2.2941111836751302,0.001,3.3178538482666013
52,2.297739463551839,0.001,3.2806910194396974
53,2.2783491181691486,0.001,3.3328814727783205
54,2.2718329728444417,0.001,3.292117622375488
55,2.2539788416544595,0.001,3.272163195037842
56,2.2432697593688964,0.001,3.297074766159058
57,2.241292933909098,0.001,3.279832270050049
58,2.2204639873504637,0.001,3.3049207347869873
59,2.203398829650879,0.001,3.267707531738281
60,2.209822623697917,0.001,3.279010933685303
61,2.193380411529541,0.001,3.2747252922058108
62,2.191895453008016,0.001,3.322447999572754
63,2.1813737234751382,0.001,3.293615384674072
64,2.1588182760874433,0.001,3.249467827606201
65,2.1626565863291423,0.001,3.258914789581299
66,2.149029492060343,0.001,3.307269348144531
67,2.1392743000030516,0.001,3.279272445297241
68,2.1369506800333657,0.001,3.2796928604125974
69,2.1324785275777183,0.001,3.268616478729248
70,2.1106501808166502,0.001,3.3183145545959474
71,2.110758738454183,0.001,3.2923173751831056
72,2.113819815444946,0.001,3.3413530685424804
73,2.0942019509633383,0.001,3.2648672916412353
74,2.0894951241811115,0.001,3.2649610488891603
75,2.0755818319956463,0.001,3.325287122344971
76,2.076530570093791,0.001,3.297630391693115
77,2.070774947484334,0.001,3.306116445541382
78,2.0609533390045165,0.001,3.362683315658569
79,2.051548906071981,0.001,3.297361975479126
80,2.0420943744659423,0.001,3.329760890197754
81,2.0447649813334148,0.001,3.2669001388549805
82,2.0347776266733804,0.001,3.2788339942932128
83,2.02511597143809,0.001,3.3349005577087403
84,2.0246337489446002,0.001,3.274677714538574
85,1.6581747822443644,0.0005,2.984164456176758
86,1.6247236266454061,0.0005,3.016965755844116
87,1.626538792737325,0.0005,3.034382911682129
88,1.629581059773763,0.0005,3.0458933780670168
89,1.6283124382654826,0.0005,3.051056203842163
90,1.6247244366963705,0.0005,3.043424429321289
91,1.621251485188802,0.0005,3.0605867073059083
92,1.6189336684544882,0.0005,3.071955675506592
93,1.6143664428710938,0.0005,3.0947239654541017
94,1.6094623230616252,0.0005,3.079513176727295
95,1.6054439961115519,0.0005,3.073285466384888
96,1.5992696184794108,0.0005,3.076743089675903
97,1.598694046719869,0.0005,3.07019700050354
98,1.5942084098180136,0.0005,3.097254978942871
99,1.5894609670639037,0.0005,3.1135508110046386
100,1.5865516136169433,0.0005,3.1431708660125732
101,1.579771346537272,0.0005,3.109131636428833
102,1.5764245386759441,0.0005,3.10964211769104
103,1.573045415496826,0.0005,3.105737558364868
104,1.5723456316630045,0.0005,3.147943879699707
105,1.5665780250549317,0.0005,3.1176446823120116
106,1.4291314338684082,0.00025,3.029291133880615
107,1.4169622947057088,0.00025,3.0318837829589844
