epoch,loss,lr,val_loss
0,15.427342412821451,0.001,7.619338262176513
1,7.05309016011556,0.001,6.352895266723633
2,6.004489511362712,0.001,5.891183811187744
3,5.388193385569255,0.001,5.354158728790283
4,5.06527541325887,0.001,5.10515040435791
5,4.799888121541341,0.001,4.907610307312011
6,4.569704137166341,0.001,4.715318505096436
7,4.462028472646077,0.001,4.661671356201172
8,4.278856320699056,0.001,4.41454009513855
9,4.151707626597086,0.001,4.4272798095703125
10,4.0624337437947595,0.001,4.37997286529541
11,3.9715868618011476,0.001,4.279171781539917
12,3.873977479171753,0.001,4.238214394760131
13,3.7923847630818686,0.001,4.152308262252808
14,3.734645716349284,0.001,4.099503980255127
15,3.669961078898112,0.001,4.1955653175354
16,3.606183609008789,0.001,4.034729163360596
17,3.557300696182251,0.001,4.044695690155029
18,3.5053391770680746,0.001,4.06305724067688
19,3.4741069299062093,0.001,3.9473040878295897
20,3.4132889424641926,0.001,3.887780546951294
21,3.3734628655751546,0.001,3.8926219108581543
22,3.3254980236053466,0.001,3.935041062927246
23,3.3035384314219156,0.001,3.927555131149292
24,3.282483330154419,0.001,3.8364216354370115
25,3.223723304875692,0.001,3.8552778076171874
26,3.180750408299764,0.001,3.8567226737976075
27,3.177721043014526,0.001,3.8335813568115236
28,3.156962084579468,0.001,3.878972193145752
29,3.109149737167358,0.001,3.7862453796386717
30,3.084676459121704,0.001,3.8114883563995363
31,3.0901268642425537,0.001,3.8212058589935305
32,3.035359739176432,0.001,3.7543722675323488
33,3.034590274175008,0.001,3.732328762817383
34,2.992941939417521,0.001,3.7820530448913576
35,2.9898666423797606,0.001,3.751154411315918
36,2.9560465159098306,0.001,3.8200700271606447
37,2.9431150797526042,0.001,3.754806298828125
38,2.9204912970225014,0.001,3.7588916263580323
39,2.9204254180908205,0.001,3.7653506843566893
40,2.880863459777832,0.001,3.7442031135559084
41,7.992216713968912,0.001,5.39968678817749
42,4.1853264017740885,0.001,4.295986351776123
43,3.4820368111928306,0.001,3.9335243133544924
44,3.2358328207651774,0.001,3.8652979572296142
45,3.086693393834432,0.001,3.804557067108154
46,3.136494264094035,0.001,3.77495950088501
47,3.020538786315918,0.001,3.6714962669372557
48,2.9308693322499595,0.001,3.7595822265625
49,2.922450541559855,0.001,3.686105839538574
50,2.990697491582235,0.001,4.09453872756958
51,3.81272596728007,0.001,3.961308001327515
52,3.042820132573446,0.001,3.708851983261108
53,2.892908275349935,0.001,3.684146974182129
54,2.8683579725901285,0.001,3.6854662784576417
55,2.9202440446217857,0.001,3.76738995552063
56,2.8391092957814537,0.001,3.638344840621948
57,2.796340143330892,0.001,3.7151809265136717
58,2.7967777899424235,0.001,3.7180441345214845
59,2.7753352366129556,0.001,3.6257396797180177
60,2.7648390644073486,0.001,3.671852091217041
61,2.750262226867676,0.001,3.6664522537231443
62,2.7659546540578206,0.001,3.6005041465759278
63,2.7141593349456787,0.001,3.7453626472473145
64,2.709717000325521,0.001,3.711051720428467
65,2.6794185994466146,0.001,3.6573602249145507
66,2.6714939877827963,0.001,3.6432452758789062
67,2.6614942006429034,0.001,3.6159151054382326
68,2.6533529055277505,0.001,3.806900414276123
69,2.635969683074951,0.001,3.6395619575500486
70,2.615064389928182,0.001,3.667920059585571
71,2.6210590653737387,0.001,3.660635346984863
72,2.599812827173869,0.001,3.6588099975585937
