Dataset,Hermite Time Per Epoch (s),ReLU Time Per Epoch (s),Hermite Total Time (hours),ReLU Total Time (hours),Cost (Hermite),Cost (ReLU),Savings (%),Notes
Cifar10,348.1270285,304.3041675,2.707654666,11.41140628,66.28338622,279.3512258,76.27238397,ReLU never hits 85% accuracy
MNIST,93.81443596,55.48037434,1.198740015,0.7397383245,29.34515557,18.10879418,-62.04919704,Time taken to get to 98% acc
NORB,46.69794488,27.14985895,0.4929227515,1.018119711,12.06674896,24.92357052,51.58499081,ReLU never hits 92% accuracy
SVHN,469.8994174,408.5875249,5.612687486,8.512240102,137.3985896,208.3796377,34.06333211,Time taken to get to 93% acc
