Dataset,Hermite Time Per Epoch (s),ReLU Time Per Epoch (s),Hermite Total Time (hours),ReLU Total Time (hours),Cost (Hermite),Cost (ReLU),Savings (%),Notes
Cifar10,270.568243,243.1654725,1.878946132,9.11870522,45.99660131,223.2259038,79.3945951,ReLU never hits 85% accuracy
MNIST,84.75320233,51.47114293,1.059415029,0.6862819058,25.93447991,16.80018105,-54.37024059,Time taken to get to 98% acc
NORB,40.6791152,25.26741988,0.4180909062,0.9475282455,10.23486538,23.19549145,55.87562606,ReLU never hits 92% accuracy
SVHN,411.2289023,317.0954944,1.142302506,3.435201189,27.96356536,84.09372511,66.74714395,Time taken to get to 93% acc
