epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,559.0870658159256,46.788,108.58099067211151,61.8,61.8
1,0.01,356.575138092041,67.53,104.14373725652695,65.98,65.98
2,0.01,280.71795481443405,74.862,85.68186169862747,71.07,71.07
3,0.01,236.3906576037407,79.066,66.0286376774311,78.2,78.2
4,0.01,208.63185116648674,81.542,54.43548169732094,81.16,81.16
5,0.01,187.59230080246925,83.444,83.47101885080338,75.57,81.16
6,0.01,171.54396164417267,84.736,63.037564158439636,79.93,81.16
7,0.01,159.10542087256908,85.814,52.25977146625519,82.98,82.98
8,0.01,146.609744399786,87.086,51.06098893284798,83.8,83.8
9,0.01,137.4700089842081,87.754,51.57381245493889,83.73,83.8
10,0.01,128.47090005874634,88.72,42.85089188814163,85.68,85.68
11,0.01,119.57558073103428,89.396,49.073483034968376,84.39,85.68
12,0.01,112.36266972124577,90.006,40.308117389678955,87.17,87.17
13,0.01,105.5748485326767,90.586,40.50568117201328,87.1,87.17
14,0.01,100.60989904403687,91.016,44.0680176615715,85.8,87.17
15,0.01,94.77263988554478,91.48,39.06605230271816,87.72,87.72
16,0.01,93.0602455958724,91.71,44.327142149209976,86.29,87.72
17,0.01,86.45945833623409,92.278,40.80939398705959,87.48,87.72
18,0.01,84.45596163719893,92.524,37.649555176496506,87.81,87.81
19,0.01,78.21511929109693,92.928,40.3820179104805,87.21,87.81
20,0.01,75.89822065085173,93.216,34.979709431529045,88.93,88.93
21,0.01,72.70160749927163,93.578,39.09268990159035,88.49,88.93
22,0.01,69.43930015712976,93.802,36.64149595797062,88.66,88.93
23,0.01,66.92981133982539,93.936,35.65098135173321,89.22,89.22
24,0.01,61.85101014375687,94.462,40.99608717858791,87.98,89.22
25,0.01,62.10509702190757,94.302,35.53177985548973,89.51,89.51
26,0.01,60.37911254912615,94.618,39.68752799928188,88.41,89.51
27,0.01,57.503449596464634,94.856,40.08614133298397,88.76,89.51
28,0.01,54.93461287021637,95.13,33.73546952009201,89.24,89.51
29,0.01,54.97894126176834,95.03,42.85179053246975,87.94,89.51
30,0.01,50.77745934948325,95.496,36.76384609937668,89.13,89.51
31,0.01,49.67986929230392,95.594,34.187788873910904,89.67,89.67
32,0.01,46.729136042296886,95.828,32.51263276487589,90.59,90.59
33,0.01,47.45804765820503,95.81,35.115535736083984,89.79,90.59
34,0.01,46.1818070281297,95.866,33.09050205349922,90.22,90.59
35,0.01,44.11037048883736,95.968,34.488159999251366,89.73,90.59
36,0.01,44.14740140363574,95.95,41.267115503549576,88.56,90.59
